FireID,c_wnd_drct_id,weather_date,dry_bulb_temperature,minimum_temperature,maximum_temperature,relative_humidity,wind_speed_kmh,wind_gust_kmh,wind_date,wind_agric,rain_mm,dew_point,precip_counter,c_wnd_drct_type,name
HWF280,1,2017-09-01 0:00,12.4,,,50,10,26,2017-09-01 0:00,26,0,3,,F5,High Level
HWF280,1,2017-09-01 1:00,11.6,,,53,11,,2017-09-01 1:00,25.2,0,3,,F5,High Level
HWF280,1,2017-09-01 2:00,11.2,,,54,11,26,2017-09-01 2:00,26.2,0,3,,F5,High Level
HWF280,1,2017-09-01 3:00,10.7,,,55,12,,2017-09-01 3:00,26.4,0,3,,F5,High Level
HWF280,1,2017-09-01 4:00,10.3,,,58,11,,2017-09-01 4:00,23.2,0,3,,F5,High Level
HWF280,1,2017-09-01 5:00,9.9,,,60,13,,2017-09-01 5:00,24.6,0,3,,F5,High Level
HWF280,1,2017-09-01 6:00,9.3,9.3,20.3,64,12,,2017-09-01 6:00,25.7,0,3,,F5,High Level
HWF280,1,2017-09-01 7:00,9.2,,,64,11,,2017-09-01 7:00,21.4,0,3,,F5,High Level
HWF280,1,2017-09-01 8:00,11.6,,,58,10,25,2017-09-01 8:00,25.4,0,4,,F5,High Level
HWF280,7,2017-09-01 9:00,13.8,,,50,13,30,2017-09-01 9:00,29.8,0,4,,F5,High Level
HWF280,1,2017-09-01 10:00,15.7,,,44,14,34,2017-09-01 10:00,33.7,0,4,,F5,High Level
HWF280,7,2017-09-01 11:00,17.2,,,38,18,,2017-09-01 11:00,30.9,0,3,,F5,High Level
HWF280,1,2017-09-01 12:00,18,,,36,16,31,2017-09-01 12:00,30.6,0,3,,F5,High Level
HWF280,1,2017-09-01 13:00,19.7,,,31,13,33,2017-09-01 13:00,32.6,0,3,,F5,High Level
HWF280,1,2017-09-01 14:00,20.6,,,30,16,41,2017-09-01 14:00,41,0,3,,F5,High Level
HWF280,1,2017-09-01 15:00,18.7,,,32,16,34,2017-09-01 15:00,33.6,0,2,,F5,High Level
HWF280,7,2017-09-01 16:00,20.7,,,28,15,41,2017-09-01 16:00,41,0,2,,F5,High Level
HWF280,7,2017-09-01 17:00,18.4,,,35,15,37,2017-09-01 17:00,36.8,0,3,,F5,High Level
HWF280,7,2017-09-01 18:00,17.9,,,36,11,32,2017-09-01 18:00,32,0,3,,F5,High Level
HWF280,1,2017-09-01 19:00,17,,,40,7,22,2017-09-01 19:00,21.7,0,4,,F5,High Level
HWF280,7,2017-09-01 20:00,15.5,,,47,4,25,2017-09-01 20:00,24.5,0,5,,F5,High Level
HWF280,1,2017-09-01 21:00,14.2,,,50,7,,2017-09-01 21:00,17.6,0,5,,F5,High Level
HWF280,1,2017-09-01 22:00,12.2,,,57,8,,2017-09-01 22:00,14.1,0,4,,F5,High Level
HWF280,1,2017-09-01 23:00,11,,,60,7,,2017-09-01 23:00,17.7,0,4,,F5,High Level
HWF280,1,2017-09-02 0:00,9.4,,,68,5,,2017-09-02 0:00,14,0,4,,F5,High Level
HWF280,1,2017-09-02 1:00,7,,,77,4,,2017-09-02 1:00,10.1,0,4,,F5,High Level
HWF280,3,2017-09-02 2:00,3.1,,,92,4,,2017-09-02 2:00,7.3,0,2,,F5,High Level
HWF280,3,2017-09-02 3:00,0.9,,,93,4,,2017-09-02 3:00,6,0,0,,F5,High Level
HWF280,9,2017-09-02 4:00,-0.4,,,94,0,,2017-09-02 4:00,6.6,0,-1,,F5,High Level
HWF280,1,2017-09-02 5:00,-1.5,,,93,3,,2017-09-02 5:00,5.6,0,-2,,F5,High Level
HWF280,1,2017-09-02 6:00,-1.9,-1.9,21.2,94,1,,2017-09-02 6:00,5.2,0,-2,,F5,High Level
HWF280,1,2017-09-02 7:00,1.8,,,94,6,,2017-09-02 7:00,9.3,0,1,,F5,High Level
HWF280,3,2017-09-02 8:00,8.6,,,74,2,,2017-09-02 8:00,8.1,0,5,,F5,High Level
HWF280,1,2017-09-02 9:00,13.3,,,55,5,,2017-09-02 9:00,11.3,0,5,,F5,High Level
HWF280,1,2017-09-02 10:00,15.5,,,46,9,,2017-09-02 10:00,18,0,5,,F5,High Level
HWF280,1,2017-09-02 11:00,17,,,41,9,25,2017-09-02 11:00,24.5,0,4,,F5,High Level
HWF280,1,2017-09-02 12:00,18.6,,,34,12,27,2017-09-02 12:00,26.5,0,3,,F5,High Level
HWF280,1,2017-09-02 13:00,17.9,,,33,15,33,2017-09-02 13:00,32.5,0,2,,F5,High Level
HWF280,1,2017-09-02 14:00,18.2,,,29,12,29,2017-09-02 14:00,28.5,0,1,,F5,High Level
HWF280,3,2017-09-02 15:00,18.7,,,29,12,29,2017-09-02 15:00,29.3,0,1,,F5,High Level
HWF280,1,2017-09-02 16:00,18.1,,,28,9,24,2017-09-02 16:00,24.1,0,0,,F5,High Level
HWF280,1,2017-09-02 17:00,17.5,,,28,8,28,2017-09-02 17:00,27.9,0,-1,,F5,High Level
HWF280,1,2017-09-02 18:00,18.5,,,27,12,30,2017-09-02 18:00,29.7,0,0,,F5,High Level
HWF280,1,2017-09-02 19:00,16,,,32,7,28,2017-09-02 19:00,28.1,0,0,,F5,High Level
HWF280,1,2017-09-02 20:00,12.8,,,38,6,,2017-09-02 20:00,15.3,0,-1,,F5,High Level
HWF280,1,2017-09-02 21:00,6.9,,,64,3,,2017-09-02 21:00,12.3,0,1,,F5,High Level
HWF280,1,2017-09-02 22:00,3.8,,,67,4,,2017-09-02 22:00,7.7,0,-1,,F5,High Level
HWF280,3,2017-09-02 23:00,4.5,,,63,5,,2017-09-02 23:00,9.3,0,-1,,F5,High Level
HWF280,1,2017-09-03 0:00,7.1,,,56,8,,2017-09-03 0:00,16.2,0,-1,,F5,High Level
HWF280,1,2017-09-03 1:00,6.9,,,61,7,,2017-09-03 1:00,16.7,0,0,,F5,High Level
HWF280,7,2017-09-03 2:00,7.1,,,63,8,,2017-09-03 2:00,16.4,0,1,,F5,High Level
HWF280,1,2017-09-03 3:00,7.1,,,65,8,23,2017-09-03 3:00,22.8,0,1,,F5,High Level
HWF280,7,2017-09-03 4:00,4.8,,,75,7,,2017-09-03 4:00,14.3,0,1,,F5,High Level
HWF280,1,2017-09-03 5:00,2.9,,,80,5,,2017-09-03 5:00,13.4,0,0,,F5,High Level
HWF280,7,2017-09-03 6:00,0.4,0.4,19.3,91,3,,2017-09-03 6:00,8.3,0,0,,F5,High Level
HWF280,9,2017-09-03 7:00,-0.5,,,92,0,,2017-09-03 7:00,6,0,-1,,F5,High Level
HWF280,5,2017-09-03 8:00,6.1,,,72,1,,2017-09-03 8:00,4.3,0,2,,F5,High Level
HWF280,8,2017-09-03 9:00,12.7,,,55,4,,2017-09-03 9:00,12.7,0,4,,F5,High Level
HWF280,7,2017-09-03 10:00,13.4,,,56,5,,2017-09-03 10:00,13.8,0,5,,F5,High Level
HWF280,8,2017-09-03 11:00,14.7,,,50,9,,2017-09-03 11:00,17.9,0,5,,F5,High Level
HWF280,7,2017-09-03 12:00,15,,,44,9,,2017-09-03 12:00,22.9,0,3,,F5,High Level
