FIRE_YEAR,FIRE_NUMBER,ASSESSMENT_DATE,DATE_WORKED,RESOURCE TYPE,WING_TYPE,AIRCRAFT_CLASS,TOTAL_AIRCRAFT_PER_DAY
2017,HWF221,2017-08-05 14:42,2017-08-05 0:00,Aircraft,Fixed,Air Tanker,2
2017,HWF221,2017-08-05 14:42,2017-08-05 0:00,Aircraft,Rotary,Light,1
2017,HWF221,2017-08-05 14:42,2017-08-05 0:00,Aircraft,Rotary,Medium,3
2017,HWF221,2017-08-05 14:42,2017-08-06 0:00,Aircraft,Rotary,Light,1
2017,HWF221,2017-08-05 14:42,2017-08-06 0:00,Aircraft,Rotary,Medium,7
2017,HWF221,2017-08-05 14:42,2017-08-07 0:00,Aircraft,Fixed,Air Tanker,10
2017,HWF221,2017-08-05 14:42,2017-08-07 0:00,Aircraft,Fixed,Intermediate,1
2017,HWF221,2017-08-05 14:42,2017-08-07 0:00,Aircraft,Fixed,Medium,1
2017,HWF221,2017-08-05 14:42,2017-08-07 0:00,Aircraft,Rotary,Intermediate,1
2017,HWF221,2017-08-05 14:42,2017-08-07 0:00,Aircraft,Rotary,Medium,8
2017,HWF221,2017-08-05 14:42,2017-08-08 0:00,Aircraft,Rotary,Intermediate,3
2017,HWF221,2017-08-05 14:42,2017-08-08 0:00,Aircraft,Rotary,Light,1
2017,HWF221,2017-08-05 14:42,2017-08-08 0:00,Aircraft,Rotary,Medium,7
2017,HWF221,2017-08-05 14:42,2017-08-09 0:00,Aircraft,Rotary,Intermediate,1
2017,HWF221,2017-08-05 14:42,2017-08-09 0:00,Aircraft,Rotary,Medium,7
2017,HWF221,2017-08-05 14:42,2017-08-10 0:00,Aircraft,Rotary,Intermediate,1
2017,HWF221,2017-08-05 14:42,2017-08-10 0:00,Aircraft,Rotary,Medium,7
2017,HWF221,2017-08-05 14:42,2017-08-11 0:00,Aircraft,Rotary,Intermediate,1
2017,HWF221,2017-08-05 14:42,2017-08-11 0:00,Aircraft,Rotary,Medium,7
2017,HWF221,2017-08-05 14:42,2017-08-12 0:00,Aircraft,Fixed,Air Tanker,1
2017,HWF221,2017-08-05 14:42,2017-08-12 0:00,Aircraft,Rotary,Intermediate,2
2017,HWF221,2017-08-05 14:42,2017-08-12 0:00,Aircraft,Rotary,Medium,8
2017,HWF221,2017-08-05 14:42,2017-08-13 0:00,Aircraft,Rotary,Intermediate,2
2017,HWF221,2017-08-05 14:42,2017-08-13 0:00,Aircraft,Rotary,Medium,8
2017,HWF221,2017-08-05 14:42,2017-08-14 0:00,Aircraft,Rotary,Intermediate,3
2017,HWF221,2017-08-05 14:42,2017-08-14 0:00,Aircraft,Rotary,Light,1
2017,HWF221,2017-08-05 14:42,2017-08-14 0:00,Aircraft,Rotary,Medium,7
2017,HWF221,2017-08-05 14:42,2017-08-15 0:00,Aircraft,Fixed,Air Tanker,2
2017,HWF221,2017-08-05 14:42,2017-08-15 0:00,Aircraft,Rotary,Intermediate,2
