FireID,FireDayActual,nogrowthday,CAPTURE_DA,FIRENUMBER,FIRE_NUMBE,FIRE_CLASS,BURNCODE,BURN_CLASS,HECTARES_U,YEAR,ALIAS,TIME,PROGRESS,FireDay,Held_Perimeter,Daily_Held_Perim,Area_ha,Daily_Area,Held_River,perc_river,Held_Road,perc_road,Timber,PreviousFire
HWF246,2,16,2017-08-12,HWF-246-2017,HWF246,D,B,5,81.7,2017,Moose Lake Complex Fire,1000,201708121000,1,1024.279759,1024.279759,71.11032,71.11032,0,0,0,0,1,0
HWF246,4,16,2017-08-14,HWF-246-2017,HWF246,E,B,5,220.8,2017,Moose Lake Complex Fire,1407,201708141407,2,4739.061331,3714.781571,199.915604,128.805284,0,0,0,0,1,0
HWF246,5,16,2017-08-15,HWF-246-2017,HWF246,E,B,5,337.7,2017,Moose Lake Complex Fire,1154,201708151154,3,8806.353838,4067.292507,232.725951,32.810347,0,0,0,0,1,0
HWF246,12,16,2017-08-22,HWF-246-2017,HWF246,E,B,5,255.3,2017,Moose Lake Complex Fire,824,201708220824,4,6557.09206,-2249.261778,226.44539,-6.280561,0,0,0,0,1,0
HWF252,1,14,2017-08-14,HWF-252-2017,HWF252,E,B,5,570.3,2017,,1415,201708141415,1,2941.33,2941.33,564.08,564.08,3013.79,100,0,0,0,0
HWF252,3,14,2017-08-16,HWF-252-2017,HWF252,E,B,5,950.6,2017,,1608,201708161608,2,12760.09,9818.76,920.73,356.66,6209.29,48.66183832,0,0,0,0
HWF252,11,14,2017-08-24,HWF-252-2017,HWF252,E,B,5,1963.4,2017,,1935,201708241935,3,33053.61,20293.52,1740.63,819.9,17331.23,52.43371929,0,0,0,0
HWF221,2,20,2017-08-06,HWF-221-2017,HWF221,E,B,5,947.2,2017,Moose Lake Complex Fire,1010,201708061010,1,4705.056,4705.056,903.357161,903.357,0,0,0,0,1,0.041174157
HWF221,9,20,2017-08-13,HWF-221-2017,HWF221,E,B,5,3199.3,2017,Moose Lake Complex Fire,1930,201708131930,2,12882.769,8177.713,2606.581949,1703.225,0,0,0,0,1,0.041174157
HWF221,11,20,2017-08-15,HWF-221-2017,HWF221,E,B,5,3364.4,2017,Moose Lake Complex Fire,1934,201708151934,3,17117.334,4234.566,3097.558895,490.977,0,0,0,0,1,0.041174157
HWF221,15,20,2017-08-19,HWF-221-2017,HWF221,E,B,5,4688.5,2017,Moose Lake Complex Fire,1114,201708191114,4,31237.995,14120.661,4318.315678,1220.757,0,0,0,0,1,0.041174157
HWF221,17,20,2017-08-21,HWF-221-2017,HWF221,E,B,5,4788.9,2017,Moose Lake Complex Fire,1041,201708211041,5,32117.244,879.248,4406.758462,88.443,0,0,0,0,1,0.041174157
HWF221,19,20,2017-08-23,HWF-221-2017,HWF221,E,B,5,4994.8,2017,Moose Lake Complex Fire,1954,201708231954,6,37403.888,5286.644,4498.752108,91.994,0,0,0,0,1,0.041174157
HWF236,2,12,2017-08-10,HWF-236-2017,HWF236,C,B,5,20.1,2017,,1455,201708101455,1,2487.8181,2487.8181,16.214229,16.2142,0,0,0,0,1,0
HWF236,5,12,2017-08-13,HWF-236-2017,HWF236,C,B,5,38.9,2017,,1300,201708131300,2,5658.7987,3170.9806,25.944701,9.7305,0,0,0,0,1,0
HWF280,6,9,2017-09-06,HWF-280-2017,HWF280,E,B,5,409.6,2017,,1215,201709061215,1,1172.6845,1172.6845,406.645773,406.6458,1613.37971,100,0,0,1,0.002088627
HWF280,8,9,2017-09-08,HWF-280-2017,HWF280,E,B,5,6445.1,2017,,1600,201709081600,2,15750.7972,14578.1127,6361.812941,5955.1672,9243.985996,58.68900391,0,0,1,0.002088627
SWF107,2,30,2017-08-14,SWF-107-2017,SWF107,E,B,5,5118.3,2017,Muskrat Lake Fire,1300,201708141300,2,32194.304,32194.304,4838.147939,4838.148,6282.833006,19.5153558,0,0,1,0.001448951
SWF107,8,30,2017-08-20,SWF-107-2017,SWF107,E,B,5,7565.4,2017,Muskrat Lake Fire,1400,201708201400,3,62633.977,30439.673,7145.340307,2307.192,13539.22983,21.61643005,0,0,1,0.001448951
SWF107,23,30,2017-09-04,SWF-107-2017,SWF107,E,B,5,8648.7,2017,Muskrat Lake Fire,1200,201709041200,4,71109.241,8475.264,8173.057958,1027.718,17374.66108,24.43375961,0,0,1,0.001448951
