Station Name,Date (Local Standard Time),Wind Speed Peak 10 m (km/h),Wind Speed Peak 10 m Source Flag
Lambert Auto,2017-08-01 0:00,8.7,ACTUAL
Lambert Auto,2017-08-01 1:00,5.8,ACTUAL
Lambert Auto,2017-08-01 2:00,1.3,ACTUAL
Lambert Auto,2017-08-01 3:00,2.8,ACTUAL
Lambert Auto,2017-08-01 4:00,1,ACTUAL
Lambert Auto,2017-08-01 5:00,4,ACTUAL
Lambert Auto,2017-08-01 6:00,2.9,ACTUAL
Lambert Auto,2017-08-01 7:00,0,ACTUAL
Lambert Auto,2017-08-01 8:00,7,ACTUAL
Lambert Auto,2017-08-01 9:00,6.1,ACTUAL
Lambert Auto,2017-08-01 10:00,10.1,ACTUAL
Lambert Auto,2017-08-01 11:00,9.5,ACTUAL
Lambert Auto,2017-08-01 12:00,13.5,ACTUAL
Lambert Auto,2017-08-01 13:00,9.9,ACTUAL
Lambert Auto,2017-08-01 14:00,11.4,ACTUAL
Lambert Auto,2017-08-01 15:00,12.2,ACTUAL
Lambert Auto,2017-08-01 16:00,12,ACTUAL
Lambert Auto,2017-08-01 17:00,11.1,ACTUAL
Lambert Auto,2017-08-01 18:00,10.6,ACTUAL
Lambert Auto,2017-08-01 19:00,7.4,ACTUAL
Lambert Auto,2017-08-01 20:00,2.7,ACTUAL
Lambert Auto,2017-08-01 21:00,0.2,ACTUAL
Lambert Auto,2017-08-01 22:00,3.9,ACTUAL
Lambert Auto,2017-08-01 23:00,0.2,ACTUAL
Lambert Auto,2017-08-02 0:00,7.4,ACTUAL
Lambert Auto,2017-08-02 1:00,7.8,ACTUAL
Lambert Auto,2017-08-02 2:00,9.4,ACTUAL
Lambert Auto,2017-08-02 3:00,9.2,ACTUAL
Lambert Auto,2017-08-02 4:00,7.9,ACTUAL
Lambert Auto,2017-08-02 5:00,9.3,ACTUAL
Lambert Auto,2017-08-02 6:00,10.7,ACTUAL
Lambert Auto,2017-08-02 7:00,10.9,ACTUAL
Lambert Auto,2017-08-02 8:00,11.1,ACTUAL
Lambert Auto,2017-08-02 9:00,9.1,ACTUAL
Lambert Auto,2017-08-02 10:00,10,ACTUAL
Lambert Auto,2017-08-02 11:00,14.4,ACTUAL
Lambert Auto,2017-08-02 12:00,14.2,ACTUAL
Lambert Auto,2017-08-02 13:00,13.1,ACTUAL
Lambert Auto,2017-08-02 14:00,13.5,ACTUAL
Lambert Auto,2017-08-02 15:00,18.9,ACTUAL
Lambert Auto,2017-08-02 16:00,14.2,ACTUAL
Lambert Auto,2017-08-02 17:00,12.8,ACTUAL
Lambert Auto,2017-08-02 18:00,12.8,ACTUAL
Lambert Auto,2017-08-02 19:00,15.3,ACTUAL
Lambert Auto,2017-08-02 20:00,8.9,ACTUAL
Lambert Auto,2017-08-02 21:00,0.2,ACTUAL
Lambert Auto,2017-08-02 22:00,4,ACTUAL
Lambert Auto,2017-08-02 23:00,7.2,ACTUAL
Lambert Auto,2017-08-03 0:00,7.9,ACTUAL
Lambert Auto,2017-08-03 1:00,7.8,ACTUAL
Lambert Auto,2017-08-03 2:00,8.2,ACTUAL
Lambert Auto,2017-08-03 3:00,10.6,ACTUAL
Lambert Auto,2017-08-03 4:00,9.1,ACTUAL
Lambert Auto,2017-08-03 5:00,7.7,ACTUAL
Lambert Auto,2017-08-03 6:00,8.3,ACTUAL
Lambert Auto,2017-08-03 7:00,11.4,ACTUAL
Lambert Auto,2017-08-03 8:00,15.2,ACTUAL
