FIRE_YEAR,FIRE_NUMBER,ASSESSMENT_DATE,DATE_WORKED,RESOURCE_TYPE,FUNCTION,POSITION,TOTAL_PERSONNEL_PER_DAY
2017,HWF221,2017-08-05 14:42,2017-08-05 0:00,Manpower,Command,Incident Commander 3,2
2017,HWF221,2017-08-05 14:42,2017-08-05 0:00,Manpower,Operations,Air Attack Officer,2
2017,HWF221,2017-08-05 14:42,2017-08-05 0:00,Manpower,Operations,Firetack Crew Leader,2
2017,HWF221,2017-08-05 14:42,2017-08-05 0:00,Manpower,Operations,Firetack Crew Member,12
2017,HWF221,2017-08-05 14:42,2017-08-05 0:00,Manpower,Operations,Firetack Crew Subleader,2
2017,HWF221,2017-08-05 14:42,2017-08-05 0:00,Manpower,Operations,Helitack Crew Leader,1
2017,HWF221,2017-08-05 14:42,2017-08-05 0:00,Manpower,Operations,Helitack Crew Member,3
2017,HWF221,2017-08-05 14:42,2017-08-05 0:00,Manpower,Support (Non-ICS),Dispatcher,2
2017,HWF221,2017-08-05 14:42,2017-08-05 0:00,Manpower,Support (Non-ICS),Prevention Officer,1
2017,HWF221,2017-08-05 14:42,2017-08-05 0:00,Manpower,Support (Non-ICS),Wildfire Assessor,2
2017,HWF221,2017-08-05 14:42,2017-08-06 0:00,Manpower,Command,Incident Commander 3,1
2017,HWF221,2017-08-05 14:42,2017-08-06 0:00,Manpower,Operations,Firetack Crew Leader,5
2017,HWF221,2017-08-05 14:42,2017-08-06 0:00,Manpower,Operations,Firetack Crew Member,30
2017,HWF221,2017-08-05 14:42,2017-08-06 0:00,Manpower,Operations,Firetack Crew Subleader,5
2017,HWF221,2017-08-05 14:42,2017-08-06 0:00,Manpower,Operations,Helitack Crew Leader,1
2017,HWF221,2017-08-05 14:42,2017-08-06 0:00,Manpower,Operations,Helitack Crew Member,2
2017,HWF221,2017-08-05 14:42,2017-08-06 0:00,Manpower,Support (Non-ICS),Dispatcher,1
2017,HWF221,2017-08-05 14:42,2017-08-06 0:00,Manpower,Support (Non-ICS),Wildfire Assessor,1
2017,HWF221,2017-08-05 14:42,2017-08-07 0:00,Manpower,Command,Incident Commander 3,4
2017,HWF221,2017-08-05 14:42,2017-08-07 0:00,Manpower,Operations,Air Attack Officer,2
2017,HWF221,2017-08-05 14:42,2017-08-07 0:00,Manpower,Operations,Firetack Crew Leader,7
2017,HWF221,2017-08-05 14:42,2017-08-07 0:00,Manpower,Operations,Firetack Crew Member,42
2017,HWF221,2017-08-05 14:42,2017-08-07 0:00,Manpower,Operations,Firetack Crew Subleader,7
2017,HWF221,2017-08-05 14:42,2017-08-07 0:00,Manpower,Operations,Helitack Crew Leader,5
2017,HWF221,2017-08-05 14:42,2017-08-07 0:00,Manpower,Operations,Helitack Crew Member,8
2017,HWF221,2017-08-05 14:42,2017-08-07 0:00,Manpower,Operations,Rappel Crew Member,5
2017,HWF221,2017-08-05 14:42,2017-08-07 0:00,Manpower,Operations,Rappel Crew Spotter,1
2017,HWF221,2017-08-05 14:42,2017-08-07 0:00,Manpower,Operations,Rappel Crew Subleader,1
2017,HWF221,2017-08-05 14:42,2017-08-07 0:00,Manpower,Support (Non-ICS),Wildfire Assessor,1
2017,HWF221,2017-08-05 14:42,2017-08-08 0:00,Manpower,Command,Incident Commander 3,4
2017,HWF221,2017-08-05 14:42,2017-08-08 0:00,Manpower,Logistics,Facilities Unit Leader,3
2017,HWF221,2017-08-05 14:42,2017-08-08 0:00,Manpower,Logistics,Logistics Section Chief 2,3
2017,HWF221,2017-08-05 14:42,2017-08-08 0:00,Manpower,Operations,Firetack Crew Leader,14
2017,HWF221,2017-08-05 14:42,2017-08-08 0:00,Manpower,Operations,Firetack Crew Member,84
2017,HWF221,2017-08-05 14:42,2017-08-08 0:00,Manpower,Operations,Firetack Crew Subleader,14
2017,HWF221,2017-08-05 14:42,2017-08-08 0:00,Manpower,Operations,Helitack Crew Leader,6
2017,HWF221,2017-08-05 14:42,2017-08-08 0:00,Manpower,Operations,Helitack Crew Member,15
2017,HWF221,2017-08-05 14:42,2017-08-08 0:00,Manpower,Operations,Strike Team Leader,4
2017,HWF221,2017-08-05 14:42,2017-08-08 0:00,Manpower,Support (Non-ICS),Warehouse Person,4
2017,HWF221,2017-08-05 14:42,2017-08-08 0:00,Manpower,Support (Non-ICS),Wildfire Assessor,1
2017,HWF221,2017-08-05 14:42,2017-08-08 0:00,Manpower,Support (Non-ICS),Wildfire Operations Officer,1
2017,HWF221,2017-08-05 14:42,2017-08-09 0:00,Manpower,Command,Incident Commander 3,7
2017,HWF221,2017-08-05 14:42,2017-08-09 0:00,Manpower,Logistics,Facilities Unit Leader,3
2017,HWF221,2017-08-05 14:42,2017-08-09 0:00,Manpower,Logistics,Logistics Section Chief 2,4
2017,HWF221,2017-08-05 14:42,2017-08-09 0:00,Manpower,Logistics,Stevedore,4
2017,HWF221,2017-08-05 14:42,2017-08-09 0:00,Manpower,Logistics,Supply Unit Leader,2
2017,HWF221,2017-08-05 14:42,2017-08-09 0:00,Manpower,Operations,Firetack Crew Leader,13
2017,HWF221,2017-08-05 14:42,2017-08-09 0:00,Manpower,Operations,Firetack Crew Member,78
2017,HWF221,2017-08-05 14:42,2017-08-09 0:00,Manpower,Operations,Firetack Crew Subleader,13
2017,HWF221,2017-08-05 14:42,2017-08-09 0:00,Manpower,Operations,Strike Team Leader,4
2017,HWF221,2017-08-05 14:42,2017-08-10 0:00,Manpower,Command,Incident Commander 3,4
