FireID,FireDayActual,CAPTURE_DA,FIRENUMBER,FIRE_NUMBE,FIRE_CLASS,BURNCODE,BURN_CLASS,HECTARES_U,YEAR,ALIAS,TIME,PROGRESS,FireDay,Held_Perimeter,held_perim_rnr,Daily_Held_Perim,Daily_Held_noneg,Area_ha,Daily_Area,Daily_Area_noneg,Held_River,Held_Road,Timber,PreviousFire
HWF246,1,2017-08-12,HWF-246-2017,HWF246,D,B,5,81.7,2017,Moose Lake Complex Fire,1000,2.02E+11,1,1024.279759,1024.279759,1024.279759,1024.279759,71.11032,71.11032,71.11032,0,0,1,0
HWF246,3,2017-08-14,HWF-246-2017,HWF246,E,B,5,220.8,2017,Moose Lake Complex Fire,1407,2.02E+11,2,4739.061331,4739.061331,3714.781572,3714.781572,199.915604,128.805284,128.805284,0,0,1,0
HWF246,4,2017-08-15,HWF-246-2017,HWF246,E,B,5,337.7,2017,Moose Lake Complex Fire,1154,2.02E+11,3,8806.353838,8806.353838,4067.292507,4067.292507,232.725951,32.810347,32.810347,0,0,1,0
HWF246,11,2017-08-22,HWF-246-2017,HWF246,E,B,5,255.3,2017,Moose Lake Complex Fire,824,2.02E+11,4,6557.09206,6557.09206,-2249.261778,0,226.44539,-6.280561,0,0,0,1,0
HWF252,1,2017-08-14,HWF-252-2017,HWF252,E,B,5,570.3,2017,,1415,2.02E+11,1,2941.33,-72.46,-72.46,0,564.08,564.08,564.08,3013.79,0,0,0
HWF252,3,2017-08-16,HWF-252-2017,HWF252,E,B,5,950.6,2017,,1608,2.02E+11,2,12760.09,6550.8,6623.26,6623.26,920.73,356.65,356.65,6209.29,0,0,0
HWF252,11,2017-08-24,HWF-252-2017,HWF252,E,B,5,1963.4,2017,,1935,2.02E+11,3,33053.61,15722.38,9171.58,9171.58,1740.63,819.9,819.9,17331.23,0,0,0
HWF221,1,2017-08-06,HWF-221-2017,HWF221,E,B,5,947.2,2017,Moose Lake Complex Fire,1010,2.02E+11,1,4705.056,4705.056,4705.056,4705.056,903.357161,903.357161,903.357161,0,0,1,0.041174157
HWF221,8,2017-08-13,HWF-221-2017,HWF221,E,B,5,3199.3,2017,Moose Lake Complex Fire,1930,2.02E+11,2,12882.769,12882.769,8177.713,8177.713,2606.581949,1703.224788,1703.224788,0,0,1,0.041174157
HWF221,10,2017-08-15,HWF-221-2017,HWF221,E,B,5,3364.4,2017,Moose Lake Complex Fire,1934,2.02E+11,3,17117.334,17117.334,4234.565,4234.565,3097.558895,490.976946,490.976946,0,0,1,0.041174157
HWF221,14,2017-08-19,HWF-221-2017,HWF221,E,B,5,4688.5,2017,Moose Lake Complex Fire,1114,2.02E+11,4,31237.995,31237.995,14120.661,14120.661,4318.315678,1220.756783,1220.756783,0,0,1,0.041174157
HWF221,16,2017-08-21,HWF-221-2017,HWF221,E,B,5,4788.9,2017,Moose Lake Complex Fire,1041,2.02E+11,5,32117.244,32117.244,879.249,879.249,4406.758462,88.442784,88.442784,0,0,1,0.041174157
HWF221,18,2017-08-23,HWF-221-2017,HWF221,E,B,5,4994.8,2017,Moose Lake Complex Fire,1954,2.02E+11,6,37403.888,37403.888,5286.644,5286.644,4498.752108,91.993646,91.993646,0,0,1,0.041174157
HWF236,1,2017-08-10,HWF-236-2017,HWF236,C,B,5,20.1,2017,,1455,2.02E+11,1,2487.8181,2487.8181,2487.8181,2487.8181,16.214229,16.214229,16.214229,0,0,1,0
HWF236,4,2017-08-13,HWF-236-2017,HWF236,C,B,5,38.9,2017,,1300,2.02E+11,2,5658.7987,5658.7987,3170.9806,3170.9806,25.944701,9.730472,9.730472,0,0,1,0
HWF280,1,2017-09-06,HWF-280-2017,HWF280,E,B,5,409.6,2017,,1215,2.02E+11,1,1172.6845,-440.69521,-440.69521,0,406.645773,406.645773,406.645773,1613.37971,0,1,0.002088627
HWF280,3,2017-09-08,HWF-280-2017,HWF280,E,B,5,6445.1,2017,,1600,2.02E+11,2,15750.7972,6506.811204,6947.506414,6947.506414,6361.812941,5955.167168,5955.167168,9243.985996,0,1,0.002088627
SWF107,1,2017-08-14,SWF-107-2017,SWF107,E,B,5,5118.3,2017,Muskrat Lake Fire,1300,2.02E+11,2,32194.304,25911.47099,25911.47099,25911.47099,4838.147939,4838.147939,4838.147939,6282.833006,0,1,0.001448951
SWF107,7,2017-08-20,SWF-107-2017,SWF107,E,B,5,7565.4,2017,Muskrat Lake Fire,1400,2.02E+11,3,62633.977,49094.74717,23183.27618,23183.27618,7145.340307,2307.192368,2307.192368,13539.22983,0,1,0.001448951
SWF107,22,2017-09-04,SWF-107-2017,SWF107,E,B,5,8648.7,2017,Muskrat Lake Fire,1200,2.02E+11,4,71109.241,53734.57992,4639.83275,4639.83275,8173.057958,1027.717651,1027.717651,17374.66108,0,1,0.001448951
