"","FireID","FireDayActual.x","weather_date","FIRENUMBER","FIRE_NUMBE","FIRE_CLASS","BURNCODE","BURN_CLASS","HECTARES_U","YEAR","ALIAS","TIME","PROGRESS","FireDay","Held_Perimeter","Daily_Held_Perim","Area_ha","Daily_Area","Held_River","perc_river","Held_Road","perc_road","Timber","PreviousFire","X","X.1","X.2","X.3","RH_max","temp_max","wind_max","agric_wind_max","FireDayActual.y","Crew","Helicopter","Air","Engine","Dozer","Daily_Held_noneg"
"HWF221-1","HWF221","1",2017-08-06,"HWF-221-2017","HWF221","E","B",5,947.2,2017,"Moose Lake Complex Fire",1010,201708061010,1,4705.056,4705.056,903.357161,903.357,0,0,0,0,1,0.041174157,NA,NA,NA,NA,98,19.6,17,18.4,1,1,1,2,3,3,4705.056
"HWF221-8","HWF221","8",2017-08-13,"HWF-221-2017","HWF221","E","B",5,3199.3,2017,"Moose Lake Complex Fire",1930,201708131930,2,12882.769,8177.713,2606.581949,1703.225,0,0,0,0,1,0.041174157,NA,NA,NA,NA,77,34.4,32,31.9,8,3,1,3,2,4,8177.713
"HWF221-10","HWF221","10",2017-08-15,"HWF-221-2017","HWF221","E","B",5,3364.4,2017,"Moose Lake Complex Fire",1934,201708151934,3,17117.334,4234.566,3097.558895,490.977,0,0,0,0,1,0.041174157,NA,NA,NA,NA,100,20.8,22,21.8,10,5,4,1,2,2,4234.566
"HWF221-14","HWF221","14",2017-08-19,"HWF-221-2017","HWF221","E","B",5,4688.5,2017,"Moose Lake Complex Fire",1114,201708191114,4,31237.995,14120.661,4318.315678,1220.757,0,0,0,0,1,0.041174157,NA,NA,NA,NA,90,16.1,32,31.5,14,7,3,1,1,1,14120.661
"HWF221-16","HWF221","16",2017-08-21,"HWF-221-2017","HWF221","E","B",5,4788.9,2017,"Moose Lake Complex Fire",1041,201708211041,5,32117.244,879.248,4406.758462,88.443,0,0,0,0,1,0.041174157,NA,NA,NA,NA,94,24.7,32,31.6,16,5,1,1,1,2,879.248
"HWF221-18","HWF221","18",2017-08-23,"HWF-221-2017","HWF221","E","B",5,4994.8,2017,"Moose Lake Complex Fire",1954,201708231954,6,37403.888,5286.644,4498.752108,91.994,0,0,0,0,1,0.041174157,NA,NA,NA,NA,94,31.2,29,29,18,4,1,2,2,2,5286.644
"HWF236-1","HWF236","1",2017-08-10,"HWF-236-2017","HWF236","C","B",5,20.1,2017,"",1455,201708101455,1,2487.8181,2487.8181,16.214229,16.2142,0,0,0,0,1,0,NA,NA,NA,NA,100,30.9,-Inf,16,1,2,1,1,2,1,2487.8181
"HWF236-4","HWF236","4",2017-08-13,"HWF-236-2017","HWF236","C","B",5,38.9,2017,"",1300,201708131300,2,5658.7987,3170.9806,25.944701,9.7305,0,0,0,0,1,0,NA,NA,NA,NA,77,34.4,32,31.9,4,2,1,2,4,2,3170.9806
"HWF246-1","HWF246","1",2017-08-12,"HWF-246-2017","HWF246","D","B",5,81.7,2017,"Moose Lake Complex Fire",1000,201708121000,1,1024.279759,1024.279759,71.11032,71.11032,0,0,0,0,1,0,NA,NA,NA,NA,81,32.8,32,31.8,1,2,1,1,3,2,1024.279759
"HWF246-3","HWF246","3",2017-08-14,"HWF-246-2017","HWF246","E","B",5,220.8,2017,"Moose Lake Complex Fire",1407,201708141407,2,4739.061331,3714.781571,199.915604,128.805284,0,0,0,0,1,0,NA,NA,NA,NA,100,21.1,-Inf,15.8,3,4,1,1,3,2,3714.781571
