FireID,Date ,Time ,Fire Status,Hectares,Datenumber,firestatusday,nogrowthday,elevation,stationelevation
SWF107,2017-08-13,16:15:00,OC,1000,42960.00,1,30,713.415161,625
SWF107,2017-08-14,15:00:00,OC,5118.2,42961.00,2,30,713.415161,625
SWF107,2017-08-15,17:53:41,BH,5118.2,42962.00,3,30,713.415161,625
SWF107,2017-08-16,21:45:00,BH,5669,42963.00,4,30,713.415161,625
SWF107,2017-08-17,12:50:00,BH,6093,42964.00,5,30,713.415161,625
SWF107,2017-08-18,18:30:00,BH,7202,42965.00,6,30,713.415161,625
SWF107,2017-08-20,14:00:00,BH,7558,42967.00,8,30,713.415161,625
SWF107,2017-09-03,18:48:34,BH,8158,42981.00,22,30,713.415161,625
SWF107,2017-09-04,11:15:00,OC,8614,42982.00,23,30,713.415161,625
SWF107,2017-09-06,19:50:00,OC,11891,42984.00,25,30,713.415161,625
SWF107,2017-09-10,10:08:00,BH,16776.18,42988.00,29,30,713.415161,625
SWF107,2017-09-11,10:30:00,BH,17023,42989.00,30,30,713.415161,625
SWF107,2017-09-21,8:55:00,UC,17023,42999.00,40,30,713.415161,625
SWF107,2018-03-31,23:59:59,UC,17023,43190.00,231,30,713.415161,625
SWF107,2018-05-20,19:29:17,EX,17023,43240.00,281,30,713.415161,625
HWF221,2017-08-05,19:31:42,OC,500,42952,1,20,273.903229,368
HWF221,2017-08-06,9:32:23,OC,944,42953,2,20,273.903229,368
HWF221,2017-08-07,19:25:09,BH,944,42954,3,20,273.903229,368
HWF221,2017-08-11,19:21:59,OC,1400,42958,7,20,273.903229,368
HWF221,2017-08-12,9:51:38,OC,1693,42959,8,20,273.903229,368
HWF221,2017-08-13,9:25:39,OC,3000,42960,9,20,273.903229,368
HWF221,2017-08-14,19:45:02,OC,3462,42961,10,20,273.903229,368
HWF221,2017-08-19,9:48:47,OC,4604,42966,15,20,273.903229,368
HWF221,2017-08-21,17:49:58,OC,4788.9,42968,17,20,273.903229,368
HWF221,2017-08-24,18:45:32,OC,4994,42971,20,20,273.903229,368
HWF221,2017-08-26,16:56:30,BH,4994,42973,22,20,273.903229,368
HWF221,2019-09-07,18:00:00,UC,4994,43715,764,20,273.903229,368
HWF221,2019-11-17,10:30:00,EX,4994,43786,835,20,273.903229,368
HWF236,2017-08-09,18:36:43,OC,13,42956,1,12,327.019806,368
HWF236,2017-08-10,9:01:46,BH,20,42957,2,12,327.019806,368
HWF236,2017-08-11,11:30:00,UC,20,42958,3,12,327.019806,368
HWF236,2017-08-13,19:24:37,OC,38,42960,5,12,327.019806,368
HWF236,2017-08-19,18:52:51,BH,38,42966,11,12,327.019806,368
HWF236,2017-08-20,14:52:06,UC,44.8,42967,12,12,327.019806,368
HWF236,2017-08-26,10:47:43,EX,44.8,42973,18,12,327.019806,368
HWF280,2017-09-01,17:38:21,BH,8.8,42979,1,9,626.608826,576
HWF280,2017-09-05,11:45:50,BH,80,42983,5,9,626.608826,576
HWF280,2017-09-06,12:27:46,BH,408,42984,6,9,626.608826,576
HWF280,2017-09-07,13:02:07,BH,1370,42985,7,9,626.608826,576
HWF280,2017-09-08,13:11:29,BH,6415,42986,8,9,626.608826,576
HWF280,2017-09-09,16:09:00,BH,13539,42987,9,9,626.608826,576
HWF280,2017-10-13,13:35:00,UC,13539,43021,43,9,626.608826,576
HWF280,2017-11-17,10:30:00,EX,13539,43056,78,9,626.608826,576
HWF246,2017-08-11,11:34:26,OC,65,42958,1,11,253.979004,368
HWF246,2017-08-12,19:27:54,OC,196,42959,2,11,253.979004,368
HWF246,2017-08-13,14:23:24,OC,220,42960,3,11,253.979004,368
HWF246,2017-08-14,17:03:04,OC,303,42961,4,11,253.979004,368
HWF246,2017-08-17,18:34:06,OC,274,42964,7,11,253.979004,368
HWF246,2017-08-21,20:00:00,BH,274,42968,11,11,253.979004,368
HWF246,2017-08-24,18:45:57,BH,255,42971,14,11,253.979004,368
HWF246,2017-08-26,16:56:51,UC,255,42973,16,11,253.979004,368
HWF246,2017-09-07,15:16:26,EX,255,42985,28,11,253.979004,368
HWF252,2017-08-14,10:50:00,OC,569,42961,1,14,882.973083,962
HWF252,2017-08-15,13:05:42,BH,569,42962,2,14,882.973083,962
HWF252,2017-08-16,14:52:00,BH,948,42963,3,14,882.973083,962
HWF252,2017-08-18,11:48:01,BH,953,42965,5,14,882.973083,962
HWF252,2017-08-23,13:58:16,BH,1053,42970,10,14,882.973083,962
HWF252,2017-08-27,17:51:17,BH,1896.6,42974,14,14,882.973083,962
HWF252,2017-09-06,16:30:41,UC,1852,42984,24,14,882.973083,962
HWF252,2017-11-17,10:30:00,EX,1852,43056,96,14,882.973083,962
